Strike,Bid,Ask,Last,% Change,Mid,Impl Vol,Open Int,Delta,Gamma,Theta,OTM %,Volume,Date,DTE
445,11.00,11.24,10.98,213.71,11.12,38.95,4027,-0.2046,0.0031,-0.1658,74.00,1074,04/04/25,75
450,11.83,12.07,12.03,197.04,11.95,38.24,20850,-0.2195,0.0033,-0.1697,72.40,8492,04/04/25,75
455,12.73,12.98,12.98,196.35,12.86,37.53,32740,-0.2353,0.0035,-0.1734,70.70,1794,04/04/25,75
460,13.69,13.95,13.93,188.41,13.82,36.84,8866,-0.2522,0.0037,-0.1768,68.90,2054,04/04/25,75
465,14.74,15.01,15.13,195.51,14.88,36.15,8183,-0.2703,0.0040,-0.1800,67.01,1601,04/04/25,75
470,15.87,16.14,16.03,181.72,16.00,35.48,11887,-0.2894,0.0042,-0.1828,65.00,4280,04/04/25,75
475,17.09,17.37,17.45,179.65,17.23,34.81,15078,-0.3098,0.0044,-0.1852,62.90,7050,04/04/25,75
480,18.41,18.70,18.98,176.27,18.56,34.15,15688,-0.3313,0.0046,-0.1871,60.70,8482,04/04/25,75
485,19.84,20.13,19.49,161.96,19.98,33.51,21121,-0.3537,0.0048,-0.1885,58.39,2601,04/04/25,75
490,21.37,21.67,22.00,159.43,21.52,32.86,17982,-0.3776,0.0050,-0.1892,55.99,12478,04/04/25,75
495,23.01,23.32,22.56,141.80,23.16,32.22,17505,-0.4028,0.0052,-0.1893,53.49,1300,04/04/25,75
500,24.78,25.10,25.19,144.33,24.94,31.58,63802,-0.4292,0.0054,-0.1887,50.90,50802,04/04/25,75
505,26.68,27.00,27.36,144.07,26.84,30.93,46760,-0.4573,0.0056,-0.1873,48.23,3052,04/04/25,75
510,28.71,29.04,28.89,131.49,28.88,30.29,52995,-0.4862,0.0058,-0.1851,45.47,25528,04/04/25,75
515,30.88,31.21,31.58,131.86,31.04,29.65,41764,-0.5162,0.0059,-0.1821,42.65,5239,04/04/25,75
520,33.20,33.54,32.98,+118.99,33.37,29.03,34661,-0.5468,0.0061,-0.1783,39.77,8091,04/04/25,75
525,35.68,36.02,36.10,+120.39,35.85,28.39,50765,-0.5795,0.0062,-0.1735,36.84,4500,04/04/25,75
530,38.34,38.69,38.62,+114.91,38.52,27.77,34431,-0.6125,0.0062,-0.1679,33.88,4117,04/04/25,75
535,39.81,42.93,41.21,+106.57,41.37,27.17,13236,-0.6463,0.0063,-0.1617,30.93,1994,04/04/25,75
540,42.90,45.95,45.00,+106.99,44.42,26.59,66714,-0.6806,0.0063,-0.1547,28.01,6943,04/04/25,75
545,46.20,49.14,48.00,+101.09,47.67,26.03,124738,-0.7152,0.0063,-0.1473,25.14,2360,04/04/25,75
550,49.69,52.57,51.62,+97.17,51.13,25.50,37597,-0.7495,0.0062,-0.1394,22.36,7773,04/04/25,75
555,53.40,56.20,53.87,+87.90,54.80,25.00,30837,-0.7836,0.0061,-0.1314,19.70,1017,04/04/25,75
560,57.27,60.04,58.26,+85.66,58.66,24.54,36768,-0.8170,0.0059,-0.1233,17.20,2414,04/04/25,75
565,60.95,64.08,63.21,+87.96,62.52,24.13,12532,-0.8491,0.0057,-0.1153,14.89,467,04/04/25,75
570,65.19,68.31,67.19,+81.06,66.75,23.75,14174,-0.8805,0.0055,-0.1081,12.77,1187,04/04/25,75
575,69.66,72.73,70.80,+73.32,71.20,23.41,16555,-0.9093,0.0052,-0.0985,10.86,1377,04/04/25,75
580,74.24,77.30,75.00,+66.67,75.77,23.10,20871,-0.9365,0.0047,-0.0914,9.15,894,04/04/25,75
585,78.48,81.99,79.91,+64.46,80.24,22.82,13329,-0.9592,0.0039,-0.0755,7.65,860,04/04/25,75
590,83.64,86.74,84.99,+59.85,85.19,22.57,12042,-0.9770,0.0028,-0.0491,6.35,1129,04/04/25,75
595,88.51,91.60,90.00,+58.59,90.06,22.35,8782,-0.9887,0.0017,-0.0247,5.23,1909,04/04/25,75
600,93.04,96.55,94.98,+53.02,94.80,22.16,12001,-0.9958,0.0008,-0.0045,4.28,292,04/04/25,75
605,98.04,101.55,98.88,+45.95,99.80,22.02,4727,-0.9986,0.0003,0.0000,3.50,268,04/04/25,75
610,103.04,106.55,105.63,+54.54,104.80,21.90,482,-0.9998,0.0000,0.0000,2.85,138,04/04/25,75
615,108.04,111.55,110.62,+50.83,109.80,21.83,361,-1.0000,0.0000,0.0000,2.32,49,04/04/25,75
